time	dummy	norm_ang_moment	cot	sub_cot	info
5000.01	Re_14000_t_5000.01.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 12.0), (47.0, 52.0), (20.0, 54.0)]
5000.02	Re_14000_t_5000.02.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.03	Re_14000_t_5000.03.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.04	Re_14000_t_5000.04.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.05	Re_14000_t_5000.05.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.06	Re_14000_t_5000.06.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.07	Re_14000_t_5000.07.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.08	Re_14000_t_5000.08.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.09	Re_14000_t_5000.09.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.10	Re_14000_t_5000.10.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.11	Re_14000_t_5000.11.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.12	Re_14000_t_5000.12.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.13	Re_14000_t_5000.13.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.14	Re_14000_t_5000.14.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (47.0, 52.0), (20.0, 54.0)]
5000.15	Re_14000_t_5000.15.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.16	Re_14000_t_5000.16.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.17	Re_14000_t_5000.17.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.18	Re_14000_t_5000.18.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.19	Re_14000_t_5000.19.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.20	Re_14000_t_5000.20.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.21	Re_14000_t_5000.21.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.22	Re_14000_t_5000.22.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.23	Re_14000_t_5000.23.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.24	Re_14000_t_5000.24.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.25	Re_14000_t_5000.25.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.26	Re_14000_t_5000.26.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.27	Re_14000_t_5000.27.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.28	Re_14000_t_5000.28.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(52.0, 13.0), (48.0, 51.0), (20.0, 54.0)]
5000.29	Re_14000_t_5000.29.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.30	Re_14000_t_5000.30.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.31	Re_14000_t_5000.31.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.32	Re_14000_t_5000.32.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.33	Re_14000_t_5000.33.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.34	Re_14000_t_5000.34.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.35	Re_14000_t_5000.35.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.36	Re_14000_t_5000.36.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.37	Re_14000_t_5000.37.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.38	Re_14000_t_5000.38.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.39	Re_14000_t_5000.39.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.40	Re_14000_t_5000.40.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
5000.41	Re_14000_t_5000.41.dat	0	B+{c+.c+.c+}	B+{c+.c+.c+}	[(51.0, 12.0), (48.0, 51.0), (20.0, 54.0)]
